random_state,model_name,min_v,max_v,train_pred,test_pred,train_real,test_real,train_acc,test_acc
0,rf,0.5,0.6,41,10,34,7,0.8292682926829268,0.7
0,rf,0.6,0.7,47,7,44,5,0.9361702127659575,0.7142857142857143
0,rf,0.7,0.8,49,11,49,10,1.0,0.9090909090909091
0,rf,0.8,0.9,43,9,43,6,1.0,0.6666666666666666
0,rf,0.9,1.0,10,1,10,1,1.0,1.0
0,dt,0.5,0.6,0,0,0,0,,
0,dt,0.6,0.7,9,4,6,1,0.6666666666666666,0.25
0,dt,0.7,0.8,0,0,0,0,,
0,dt,0.8,0.9,0,0,0,0,,
0,dt,0.9,1.0,184,44,184,27,1.0,0.6136363636363636
0,svc,0.5,0.6,33,9,15,4,0.45454545454545453,0.4444444444444444
0,svc,0.6,0.7,32,10,26,7,0.8125,0.7
0,svc,0.7,0.8,38,9,26,7,0.6842105263157895,0.7777777777777778
0,svc,0.8,0.9,43,7,38,7,0.8837209302325582,1.0
0,svc,0.9,1.0,22,5,20,3,0.9090909090909091,0.6
0,mlp,0.5,0.6,51,14,28,9,0.5490196078431373,0.6428571428571429
0,mlp,0.6,0.7,46,3,35,2,0.7608695652173914,0.6666666666666666
0,mlp,0.7,0.8,46,12,35,9,0.7608695652173914,0.75
0,mlp,0.8,0.9,32,10,30,8,0.9375,0.8
0,mlp,0.9,1.0,14,3,12,2,0.8571428571428571,0.6666666666666666
0,gbm,0.5,0.6,47,13,27,7,0.574468085106383,0.5384615384615384
0,gbm,0.6,0.7,32,11,26,6,0.8125,0.5454545454545454
0,gbm,0.7,0.8,46,8,40,7,0.8695652173913043,0.875
0,gbm,0.8,0.9,39,11,38,9,0.9743589743589743,0.8181818181818182
0,gbm,0.9,1.0,10,0,10,0,1.0,
0,xgb,0.5,0.6,34,19,24,9,0.7058823529411765,0.47368421052631576
0,xgb,0.6,0.7,45,3,35,2,0.7777777777777778,0.6666666666666666
0,xgb,0.7,0.8,37,10,30,8,0.8108108108108109,0.8
0,xgb,0.8,0.9,54,11,53,10,0.9814814814814815,0.9090909090909091
0,xgb,0.9,1.0,19,6,19,5,1.0,0.8333333333333334
0,lgbm,0.5,0.6,53,16,29,8,0.5471698113207547,0.5
0,lgbm,0.6,0.7,34,9,28,8,0.8235294117647058,0.8888888888888888
0,lgbm,0.7,0.8,42,11,36,9,0.8571428571428571,0.8181818181818182
0,lgbm,0.8,0.9,41,8,39,6,0.9512195121951219,0.75
0,lgbm,0.9,1.0,2,0,2,0,1.0,
